"","MAL13P1.124","MAL13P1.137","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL13P1.321","MAL13P1.40","MAL7P1.18","MAL7P1.29","MAL7P1.65","MAL8P1.132","MAL8P1.91","PF07_0074","PF07_0079","PF08_0032","PF10_0111","PF10_0136","PF10_0191","PF10_0243","PF10_0307","PF10_0374","PF11_0087","PF11_0090","PF11_0260","PF11_0290","PF13_0032","PF13_0087","PF13_0095","PF13_0135","PF13_0137","PF13_0170","PF13_0219","PF14_0041","PF14_0112","PF14_0286","PF14_0360","PF14_0384","PF14_0562","PF14_0642","PF14_0713","PF14_0719","PF14_0730","PFA0180w","PFA0430c","PFB0270w","PFB0590w","PFC0230c","PFC0375c","PFC0400w","PFC0440c","PFC0760c","PFC0980c","PFD0470c","PFD0785c","PFE0165w","PFE0430w","PFE0585c","PFE0815w","PFE1280w","PFE1340w","PFF0200c","PFF0490w","PFF0610c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI0855w","PFL0685w","PFL0885w","PFL0980w","PFL1270w","PFL2370c","PFL2520w","D_class","Class","Compound"
"ML_7_H1"," 0.409124218"," 0.205364855","-0.0005416435"," 0.73024941","-0.1244146313"," 0.0344359076","-0.878275840"," 0.632954151"," 0.166809514"," 0.346179711","-0.1830838845","-0.550546431","-0.011927297","-0.463783955"," 0.0365191483"," 0.571617868","-0.4584496056","-0.246186088"," 0.067561411"," 0.213777254"," 0.429883626"," 0.830442205","-0.473622115","-0.6594917718"," 0.208474426","-0.380534941","-0.163387064"," 0.32858807"," 0.6101402464"," 0.0197223510"," 0.286811063","-0.651797419"," 0.126554535","-4.451680e-01","-4.461434e-01"," 0.529313875"," 0.511506309"," 0.48358341"," 1.381613681"," 0.182821488"," 0.3358842993","-1.034930999"," 0.083915175"," 0.923253973","-0.247695638","-0.436843996"," 0.1712101247","-0.102516664","-1.170097348","-0.024468130"," 0.278858958"," 0.656873367"," 1.051945582"," 0.052546819","-0.163281493","-0.789166281"," 0.0630277666"," 0.307033474","-0.788327959"," 2.475465e-01","-0.11943690"," 0.908972098","-0.248523913","-0.5270685025"," 0.036587662"," 0.268154668"," 0.428605768","-0.002444691"," 0.1512271552","-0.602821991"," 0.4970509573","-0.7171114437"," 0.885055020"," 0.257238280"," 0.319219353",3,3,"ML_7"
"ML_7_H2"," 0.289426667"," 0.225836892","-0.0151109074"," 1.03413592"," 0.0514703070"," 0.1215748679","-0.947343950"," 0.663620520","-0.210674660"," 0.591123180","-0.0996289155","-0.925955978"," 0.118442476","-0.132382013"," 0.5250246091"," 0.587889281","-0.7207025762"," 0.239548035","-0.075552224"," 0.224482984","-0.771564077"," 0.972002181","-0.604932611","-0.7273651437","-0.089542080","-0.195098816","-0.118199203"," 0.23222129"," 0.2194885914"," 0.0435640376"," 0.330525932","-0.360244118","-0.515704705","-7.605009e-01","-6.002781e-01"," 0.267217676"," 0.127610870"," 0.57699104"," 0.554136004"," 0.493172238"," 0.2489086969","-0.597597940"," 0.966328835"," 0.974641776","-0.143639474","-0.497215787","-0.0810862098","-0.067523754","-1.202790976"," 0.213878025"," 0.318116496"," 0.495204194"," 1.357396584"," 0.265147912"," 0.289974538","-0.441921460","-0.0318315137","-0.156452290","-0.981579835"," 2.405135e-01","-0.07693573"," 0.390192034"," 0.266298721","-0.2915469404"," 0.013916170"," 0.266985138"," 0.509092131","-0.452815216"," 0.3681786655","-0.532006601"," 0.5153645196","-0.4937543917"," 1.051723697"," 0.559207769"," 0.281208645",3,3,"ML_7"
"ML_7_H4"," 0.318901060"," 0.018675555"," 0.2964812339"," 0.91656917","-0.1430563105","-0.1756814182","-0.952678322"," 0.275564868"," 0.028096407"," 1.152762777","-0.1603121260","-0.547822489","-0.093388293","-0.318761438"," 0.1050374574"," 0.544740200","-0.6522674154","-0.181735372"," 0.296487831"," 0.080498134","-0.073458398"," 0.802190426","-0.405193966","-0.8934721568"," 0.306688898","-0.441591622"," 0.061179415"," 0.26670151","-0.0369705601"," 0.0920811706","-0.015455475","-0.342030066"," 0.401182632","-5.905855e-01","-7.096320e-02"," 0.298406005","-0.120599367"," 0.77948929"," 0.546061286"," 0.133268916"," 0.1791204450","-0.859856909"," 0.301092609"," 0.753260414","-0.140730699","-0.496492136"," 0.1006587059","-0.032763126","-1.235541646","-0.106888868"," 0.155998063"," 0.450501601"," 0.996883997"," 0.305310737"," 0.213451872","-0.387677248"," 0.0916149170","-0.201303135","-0.712542990"," 4.272374e-01","-0.11370141"," 0.695763403","-0.031772346","-0.5193108223"," 0.002945456"," 0.368240967"," 0.433280899","-0.325850227"," 0.2999301821","-0.341509157"," 0.4280131906","-0.5264901821"," 0.772509814"," 0.363289011"," 0.230595696",3,3,"ML_7"
"ML_7_H6"," 0.286227967"," 0.011787464"," 0.2662182279"," 1.03802016"," 0.2423608064"," 0.0413009964","-0.874405185"," 0.106295221","-0.637752250"," 0.762695038","-0.6196054155","-1.072363174","-0.580935533","-0.108208035","-0.2339859527"," 0.220283225","-0.6597008284"," 0.209148237","-0.153361220"," 0.359544884","-1.764416657"," 0.147572239","-0.394548099","-0.4512291488","-0.015150452","-0.279930869","-0.382844618"," 0.42339367"," 0.2931281325","-0.3055342199"," 0.536312885","-0.451319525"," 0.189829897","-4.800860e-01","-1.783953e+00"," 0.431000704","-0.393242557"," 0.49947747","-0.505467631","-0.182076438","-0.2041825171","-1.050083685","-0.096170686"," 0.882654191"," 0.013089229","-0.531478352"," 0.0525721351","-0.139796799","-0.710279012","-0.231349735"," 0.133272008"," 0.482686940"," 0.868033005"," 0.190825939"," 0.219724599","-0.316791699"," 0.3065607042","-1.021341058","-0.060022757"," 9.014643e-01","-0.11021971"," 0.270658086"," 0.085031323","-0.2440992810"," 0.104381456"," 0.278779186"," 0.222256270","-0.339529391"," 0.4968569091","-0.364345539"," 0.5082519227","-0.6267040468"," 0.980810333"," 0.451188366"," 0.653656174",3,3,"ML_7"
"ML_7_H8"," 0.622939985"," 0.212151991","-0.3645635330"," 1.07607143"," 0.0373611352"," 0.0157563747","-0.776380876"," 0.557542475","-0.384610293"," 0.763313854"," 0.2511630297","-0.842474843"," 0.165536393","-0.190703946"," 0.7176759704"," 0.403319084","-0.8067667507","-0.862672415"," 1.108124611"," 0.879592939"," 0.130867043"," 1.015098814","-0.197310550","-0.9057537583","-0.083541792","-0.036647826"," 0.265326780"," 0.45864650"," 0.0608929280","-0.2018917294","-0.055853861","-1.062262709"," 0.409373825","-3.493134e-01"," 4.529972e-01"," 0.277691894"," 0.076960485"," 1.20039197"," 1.021705060"," 0.436365522"," 0.3002878634","-1.257125588"," 0.361922051"," 1.138935213"," 0.251113047","-0.896274533"," 0.5615088491","-0.006796874","-1.291195056"," 0.160559621"," 0.256157391"," 0.923391340"," 1.173670548","-0.265009582","-0.282261152","-0.363785258","-0.2246010459"," 0.017416062","-0.654274469","-1.581374e-01","-0.59523632"," 0.305776371"," 0.178879275","-0.3729004376"," 0.132604737"," 0.181241890"," 0.665611714","-0.616983869"," 0.2563759425"," 0.173022593"," 0.2031440335","-0.2582202706"," 0.741733735","-0.075864813"," 0.100952557",3,3,"ML_7"
"ML_7_H10"," 0.031672403"," 0.047572144"," 0.1091032431"," 0.76391411","-0.0866852967"," 0.0836595563","-0.914373966","-0.277833182","-0.284893424"," 0.004728078","-0.1412058711","-0.266693390","-0.328343084"," 0.085888110"," 0.1084361036"," 0.306431697","-0.1630321262","-0.279742649","-0.048605356","-0.025945028"," 0.113031397"," 0.499226751","-0.319122427","-0.1253045338","-0.082943995"," 0.045756509"," 0.347661954"," 0.37150330"," 0.1696788120"," 0.2856709126"," 0.070226418"," 0.584015666","-0.107343417","-1.912675e-01","-3.395236e-01","-0.110635719"," 0.105040317"," 0.54145815"," 0.811057416","-0.013715842"," 0.1859876139","-0.024649326","-0.378824486"," 0.227851513","-0.121409487"," 0.024670974"," 0.1332439576"," 0.180771152","-0.331160969","-0.037334595"," 0.184197782","-0.063395368"," 0.123998360","-0.620745337"," 0.463074033","-0.442357266"," 0.2296326374"," 0.196531148","-0.547102285"," 4.449116e-01"," 0.08441433"," 0.278661632","-0.348379772","-0.4013984341","-0.240007799"," 0.664940035"," 0.188936541","-0.536041274","-0.1641669240","-0.491029464","-0.1967960752","-0.3520470248"," 0.052514511","-0.189762004","-0.903517283",3,3,"ML_7"
"ML_7_H12","-0.028342590","-0.033055967","-0.2452678539"," 0.18441603","-0.0298477317"," 0.1550355340","-0.903523527","-0.663256937","-0.547026517","-0.054464951","-0.3065727973","-0.244013548","-0.196534826"," 0.157188225"," 0.0537100090"," 0.416217943","-0.0736901190","-0.756505620"," 0.084109514","-0.416267255","-0.211389295"," 0.922826256","-0.606721240","-0.0105086399","-0.438193967","-0.104775552"," 0.228196331"," 0.45639820"," 0.1297441023"," 0.3619641119","-0.003164535"," 0.036435451"," 0.353945285"," 1.234333e-01","-5.206904e-01","-0.358349872","-0.222116288"," 0.07889643"," 0.320529774","-0.480901590"," 0.0186092989"," 0.587506623","-0.832744866","-0.001956810","-0.341044129","-0.052879115","-0.0998651863"," 0.453364394","-0.069227063"," 0.333665837","-0.141513899","-0.103703679","-0.081238093","-1.085167228","-0.348654145","-0.616879131"," 0.2591997429","-0.162205019","-0.448145872"," 4.336043e-01","-0.04290429"," 0.352308697","-0.604580846","-0.3772800676","-0.418539798"," 0.775359811"," 0.039267716","-0.525374507","-0.0823218769","-0.459143399","-0.4446855760","-0.2954743129","-0.315543245","-0.059394100","-1.452819761",3,3,"ML_7"
"W7_H1","-0.140843916","-0.207598638"," 0.1200263051"," 1.07372771"," 0.2895592693","-0.1733125199","-0.712895573"," 0.141971935","-0.536086089"," 0.671849905"," 0.0829415862"," 0.063559340"," 0.271906673","-0.909976170","-0.3451140986"," 0.302822530","-0.5763939857"," 0.199260843","-0.324699499","-0.193270729","-0.256344861"," 1.090731751","-0.228758339","-0.2028182501"," 0.315713011","-0.615600863"," 0.148662906"," 0.07777226","-0.2713212253"," 0.0485169303"," 0.088545420","-0.742088287"," 0.253368687","-1.283533e-01","-1.186651e+00"," 0.102938370"," 0.257802340"," 0.72599908"," 0.360041774"," 0.030031611"," 0.0171024591","-0.625700123","-0.158262990"," 0.395933365"," 0.175262106","-0.206832962"," 0.1045964841","-0.264740523","-0.911240055","-0.037206391","-0.418409027"," 0.474226992"," 0.064369248"," 0.651008660"," 0.310707615","-0.288785321","-0.3915677898"," 0.043662861","-0.514028184"," 4.166988e-01","-0.29445186"," 0.267426934","-0.242860869","-0.5988300845","-0.006204569"," 0.981640953"," 0.413475560"," 0.277428207","-0.1517899086","-0.415621955"," 0.1570318055","-0.2943142678"," 1.308383776"," 0.426179816"," 0.790651074",4,3,"W_7"
"W7_H2","-0.069354853"," 0.018755729"," 0.1671173559"," 1.00980174"," 0.3195365625","-0.9077424378","-0.419274046"," 0.029343835","-0.542138896"," 0.602737201","-0.0470598766","-1.334929888"," 0.332747932","-0.161937669","-0.2907364331"," 0.099379211","-0.4596539903"," 0.200006628","-0.237313834","-0.382577894","-0.430419654"," 1.241168517"," 0.083906187","-0.2479415065","-0.095179703","-0.452209575","-0.118694763"," 0.29534199"," 0.2413589976","-0.0009508931"," 0.218632665","-0.415011950"," 0.100701502","-1.646073e-01","-1.731926e+00"," 0.046152130","-0.226427308"," 0.60322079","-0.160511091"," 0.033753002"," 0.0743204115","-0.021808266"," 0.856424442"," 0.302917361"," 0.095965349","-0.535184283","-0.0421065339","-0.082389617","-0.592913182"," 0.085170799","-0.204435586"," 0.446417380"," 0.041925184"," 0.427863594"," 0.288414534","-0.307505225","-0.0109372540","-0.119036174","-0.579880111","-6.024883e-01","-0.15259025"," 0.192047255"," 0.295927212","-0.3281168998"," 0.081421365"," 0.581332226"," 0.424932624"," 0.069193864"," 0.7073855793","-0.761567259"," 0.0672177746","-0.1551413878"," 1.555803437"," 0.706859425"," 0.080678511",4,3,"W_7"
"W7_H4"," 0.626128179"," 0.356811839","-0.2755502495"," 1.05205749","-0.2427296339"," 0.1370573908","-1.163063660"," 0.754698487"," 0.310179417"," 0.766040747","-0.0100240855","-0.828949459","-0.077716981","-0.272191457"," 0.3904320814"," 0.649738805","-0.8639538074"," 0.079206360"," 0.629923944"," 1.006467703"," 0.651522919"," 1.093298937","-0.576484554","-1.5543827036"," 0.215464833","-0.318024728"," 0.109843479"," 0.52413452","-0.0117507192"," 0.1093948084"," 0.116438661","-0.460690752"," 0.385298468","-6.513317e-01","-1.814729e-01"," 0.715230721"," 0.243529191"," 0.53351735"," 0.851228884"," 0.116141802"," 0.0718323661","-0.852083801"," 0.047029269"," 1.121516294"," 0.201858314","-0.477149415"," 0.3277839973"," 0.124534315","-1.408097371"," 0.311535716"," 0.357363991"," 0.822425598"," 1.757089749"," 0.018145517","-0.222041401","-0.465039353"," 0.1881171484"," 0.184211039","-0.860144089"," 1.786248e-01"," 0.07580071"," 0.818243615"," 0.443752539","-0.6989806146","-0.034601336"," 0.063941046"," 0.772636517","-0.581497729"," 0.5730453887","-0.388818867"," 0.8095411478","-0.7350547976"," 0.980782135"," 0.497614205"," 0.681505183",4,3,"W_7"
"W7_H6"," 0.406088887"," 0.090519569","-0.1207505982"," 1.05244464"," 0.1450520528"," 0.2546021077","-1.057324675"," 0.102996343","-0.603599077"," 0.772708950","-0.7023244418","-0.953774802","-0.572936898","-0.236852483","-0.4715902490"," 0.120363975","-0.7340098824"," 0.254786078","-0.205170724","-0.003958876","-1.352267331"," 0.321600182","-0.378842872","-0.6289057697"," 0.006864363","-0.282130517","-0.748231330"," 0.67892845"," 0.2180494651","-0.1941836059"," 0.699508379","-0.655646445"," 0.475810888","-4.168990e-01","-2.066673e+00"," 0.582204159","-0.395671866"," 0.42371125","-0.486872928","-0.366173163","-0.2446828579","-1.216671977","-0.175996431"," 0.710597628"," 0.104871539","-0.633111581"," 0.0863139968","-0.106437944","-0.774093755","-0.220555788"," 0.201548776"," 0.328346880"," 1.275041600"," 0.167377059","-0.074398425","-0.349035253"," 0.2245299257","-1.392801471"," 0.044447831"," 7.348697e-01","-0.09543778"," 0.326731079"," 0.163079020","-0.2557164451"," 0.001115655"," 0.107752384"," 0.264419532","-0.331657167"," 0.6439978488","-0.462871878"," 0.7806423688","-0.8405282381"," 0.860726889"," 0.775572809"," 0.763929750",4,3,"W_7"
"W7_H8"," 0.768881766"," 0.580240745","-0.3250341949"," 1.18058197","-0.3372981832"," 0.2036362519","-1.095643533"," 1.092836318","-0.307559237"," 0.812948957"," 0.0587649991","-0.664049085"," 0.063728089"," 0.011577653"," 0.8261027970"," 0.581308260","-1.0395818765"," 0.371158075"," 1.106750417"," 0.635260342"," 0.640287957"," 1.545339756","-0.824134657","-1.7278072132"," 0.151754048","-0.010779895","-0.081475142"," 0.86882560","-0.0612967272","-0.0478788966"," 0.108724481","-0.927424375"," 0.597612309","-7.784649e-01","-4.530286e-01"," 0.618541382"," 0.320077831"," 1.30264354"," 1.003989173"," 1.152410138"," 0.2672453705","-1.239010220","-0.079746928"," 1.544571490"," 0.622274298","-0.739164555"," 0.4588712675","-0.076184509","-1.671028126"," 0.018623723"," 0.499898922"," 0.955433809"," 1.973724075","-0.350993492","-0.150300263","-0.562912150","-0.1603974309","-0.391026047","-0.703375258","-4.264894e-01","-0.15501034"," 1.339631027"," 0.625665817","-0.5431188669"," 0.162043656","-0.125613237"," 0.961110144","-0.639988186"," 0.6973314056"," 0.099556183"," 0.8174522096","-0.6343257460"," 0.991345488"," 0.458001634"," 0.570040719",4,3,"W_7"
"W7_H10"," 0.068050143","-0.146976331","-0.2929938119"," 0.78224387"," 0.1127308532"," 0.1603661603","-0.339670720"," 0.103086442","-0.048177863"," 0.787741884"," 0.4208523033"," 0.126178496"," 0.580041291","-0.425385395","-0.3246450913"," 0.500075179","-0.4363370156","-0.003844772","-0.126966045","-0.125058166"," 0.141733598"," 0.583489041","-0.364798957","-0.9229809698"," 0.352786278"," 0.137057638"," 0.440428629"," 0.04001783"," 0.3873531017"," 0.1312699522","-0.034135851"," 0.178964209"," 0.703059973","-1.369292e-01","-2.347385e+00"," 0.025439732"," 0.276652515"," 0.61327394"," 1.018942589","-0.083385703"," 0.1752430207","-0.626489005","-0.159074176"," 0.298819545","-0.005326173","-0.282289079"," 0.2366200239","-0.132923816","-1.042046723","-0.004165385","-0.154633021"," 0.542548707"," 0.110424416"," 0.387043974","-0.659424167","-0.364422979","-0.5036667398","-0.194258044"," 0.013698317"," 2.457125e-01","-0.12448520"," 0.375957015"," 0.158426497","-0.2861795928"," 0.566730926"," 0.265138970"," 0.395872956","-0.113160805","-0.0520859164"," 0.234110345"," 0.2320785111","-0.0331439558"," 1.177685035"," 0.412645355"," 0.132040583",4,3,"W_7"
"W7_H12"," 0.226112742"," 0.310847661","-0.4466425083"," 0.75318358"," 0.2778749671"," 0.4113778302","-0.667052827"," 0.488418735"," 0.504812351"," 0.790211354"," 0.0867501321","-0.592922306"," 0.372018864","-0.091797171"," 0.5351234439"," 0.225449479","-0.6775704658","-0.089769655"," 0.560461531"," 0.154437603"," 1.277160916"," 0.892704211","-0.558812508","-0.8929614097"," 0.136241915","-0.099433582"," 0.329195223"," 0.02111293"," 0.1484667042"," 0.2293722206"," 0.222782763","-0.409250331"," 0.129268281","-3.364588e-01","-1.868859e+00"," 0.332386531"," 0.024431584"," 0.56402747"," 0.725791375","-0.113723835"," 0.2337814305","-0.974418189","-0.654950805"," 0.937556489","-0.088438367","-0.431159423"," 0.1275767442","-0.417405280","-1.284844311"," 0.272881896"," 0.121430153"," 0.469710991"," 1.238355113","-0.305853580","-0.745848850","-0.496387639","-0.2217604617"," 0.252681375","-0.509766225","-1.203511e-01","-0.32104685"," 1.562100681"," 0.697377664","-0.4343693802"," 0.400707881","-0.180346920"," 0.548284373","-0.501379156"," 0.0864215513","-0.063712113"," 0.6246106151","-0.4389759572"," 0.660779556"," 0.366523800"," 0.098547090",4,3,"W_7"
"Staurosporine_H1"," 0.151460335"," 0.389469770"," 0.4863817385"," 0.53638397"," 0.0730580830","-0.3066803504","-0.555632340"," 0.296171209"," 0.055317501"," 0.050085814","-1.0847930649","-0.567336863"," 0.426362602"," 0.056513161"," 0.1550873585"," 0.789366495"," 0.7445384228","-0.370467188","-0.843969820"," 0.151544025"," 0.020725293"," 0.686725096"," 0.085988870"," 0.0365342693"," 1.460407789","-1.206067988","-0.775820073"," 1.15366070"," 0.2334420482","-0.0893759857"," 1.006196741","-0.184392933"," 0.312088032","-7.874631e-01","-5.020364e-01"," 0.048974931"," 0.600709864"," 0.07676512","-0.068172860"," 0.007658657","-0.9848395293","-0.535738125","-0.623439903"," 1.040383596","-1.217710253","-0.732406617","-0.5971515223"," 0.097514473"," 0.482262193"," 0.179256424"," 0.642098552"," 0.222853313"," 0.757715046","-0.306660378","-0.069386369"," 0.365375641"," 0.3364182634"," 0.151440897","-0.112724108"," 5.127875e-01"," 0.67751398"," 0.281373217","-0.271658078","-0.0471356010","-1.081005648","-0.639373929"," 0.714559872"," 0.157947241"," 0.2715344658","-1.099107988"," 0.3211324420","-1.0490072368"," 0.621936392"," 0.109854296"," 1.085454988",5,4,"Staurosporine"
"Staurosporine_H2"," 0.132678321"," 0.424432971"," 0.4797870090"," 0.37597378","-0.0310216916","-0.1452847163","-0.924414276"," 0.076172397"," 0.308104185"," 0.166149980","-1.0736721412","-0.813684540"," 0.370233242"," 0.346365233"," 0.1406071999"," 0.657056731"," 0.3136402095"," 0.079049394","-0.658961660"," 0.171215694"," 0.017285295"," 0.729637790"," 0.002173771","-0.1373940486"," 0.861945691","-0.566839326","-0.776632745"," 1.25066355"," 0.3509443519","-0.2381817797"," 0.787813777"," 0.059368713"," 0.258622088","-1.081739e+00","-2.070297e-01"," 0.026837967"," 0.483664341","-0.42127102"," 0.032676219"," 0.289219962","-0.8229760676"," 0.054509790"," 0.985321833"," 0.873298633","-0.872423700","-0.784022835","-0.3451090093"," 0.380895763"," 0.285278172"," 0.329310375"," 0.717914894"," 0.261592726"," 1.021308508","-0.581033998","-0.678905998"," 0.272991102"," 0.3786505496"," 0.317328423"," 0.021000156"," 5.792641e-02"," 0.64575449"," 0.157622084"," 0.041603181"," 0.1870706989","-1.336130921","-0.654481885"," 0.705507545","-0.002503440"," 0.6849579819","-1.222026348"," 0.2724693447","-1.1909913666"," 0.426785850"," 0.172238859","-0.141369695",5,4,"Staurosporine"
"Staurosporine_H4"," 0.070029021"," 0.085399162"," 0.2779781282"," 0.39719160","-0.3184632960","-0.5671572345","-0.797826384"," 0.119129146","-0.022237433"," 0.255507973","-0.6320348406","-0.532256803","-0.240336131","-0.208312300","-0.1164238096"," 0.279819223"," 0.0934381083","-0.300399371"," 0.001845693"," 0.294460080"," 0.331399243"," 0.250792411"," 0.383418973","-0.4618153994"," 1.161689356","-0.854097290","-0.161796703"," 0.81664872"," 0.3591886228","-0.2008295760"," 0.040710175"," 0.190361859"," 0.426526476","-8.277430e-01"," 6.575915e-01","-0.025575086"," 0.354191837","-0.20923508"," 0.018109113"," 0.246538131","-0.4674614722"," 0.189883561"," 0.596565162"," 0.741151745","-0.810244623","-0.493278346","-0.0688017403"," 0.235835967","-0.149159395"," 0.287550825"," 0.357491501"," 0.493298531"," 0.226353240","-0.117523944","-0.475326381"," 0.538124241"," 0.2956434351","-0.050962039","-0.358278416"," 1.075813e-01"," 0.39755102"," 0.251768006"," 0.081632251","-0.3821245094","-0.967642259","-0.075129010"," 0.227740534","-0.189312340"," 0.6046066620","-0.735399870","-0.2102728394","-0.9261884920"," 0.319264401","-0.398344903","-0.880352096",5,4,"Staurosporine"
"Staurosporine_H6"," 0.004952358","-0.140044842"," 0.3059940113"," 0.42194562"," 0.1325624515","-0.2454838097","-0.806918817","-0.477440749","-0.644080933","-0.051830854","-1.0616116537","-0.881820235","-0.498057607","-0.040115904","-0.6447141545","-0.078870589"," 0.0752596871"," 0.326114061","-0.440233886"," 0.154891221","-1.441187445","-0.035653705"," 0.331965054"," 0.1208793291"," 0.537737357","-0.747216872","-1.236906312"," 1.17072821"," 0.3414899312","-0.3173023326"," 0.862047247"," 0.157245306"," 0.395529438","-7.830628e-01","-1.096436e+00"," 0.083337873","-0.005469496","-0.13593043","-1.035592702","-0.295401476","-0.9961150914","-0.199775669"," 0.063105315"," 0.679821716","-0.745774882"," 0.103625545","-0.2986633288"," 0.373461733"," 0.553467512"," 0.029640511"," 0.414686697"," 0.378447863"," 0.393991919","-0.585738725","-0.643867048"," 0.484629473"," 0.4177293111","-0.726345133"," 0.204268255"," 5.877940e-01"," 0.42966816","-0.204027366","-0.639378678"," 0.0460219198","-1.140527846","-0.459016158"," 0.112646604","-0.085121963"," 0.8652050589","-1.182598426"," 0.1397481120","-1.0869873757"," 0.279204740"," 0.130469149","-1.858127301",5,4,"Staurosporine"
"Staurosporine_H8"," 0.061963673","-0.214399778"," 0.1557445791","-0.44714879"," 0.0537055418","-0.5160864499","-0.742986838","-0.300427346","-0.473111894","-0.033683738","-0.4289553964","-0.560651475"," 0.769032497","-0.156021233"," 0.0522798288"," 0.159155708"," 0.0869717584","-0.037720470"," 0.402045546"," 0.173383203"," 0.240194830"," 0.758179593"," 0.115248314"," 0.3388174101"," 0.303479340","-0.851538678","-0.469152272"," 0.94778864"," 0.1400252243","-0.0588640900"," 0.278119217","-0.366620721"," 0.461812502","-2.587804e-01"," 1.077223e+00","-0.641359875"," 0.465167728"," 0.72800398"," 0.219941083"," 0.052918418","-0.7225626017","-0.054009186"," 0.135886630"," 1.029811199","-0.759123031","-0.186654265","-0.1502846228"," 0.304188735"," 0.390404870"," 0.125002502"," 0.242672638"," 0.487222192"," 0.035410037","-0.832484766","-1.387439523"," 0.538611887"," 0.0240743302","-0.129192750","-0.336397912"," 9.808222e-02"," 0.47270778"," 0.121746953","-0.510836308"," 0.0625030871","-1.104322484"," 0.104828261"," 0.128946823"," 0.033992027"," 0.3473742948","-0.585252856","-0.4297729330","-0.3740082777","-0.119571629","-0.610019710","-2.440822603",5,4,"Staurosporine"
"Staurosporine_H10","-0.059897290","-0.185153866"," 0.1847171945","-0.14483590"," 0.0008938315","-0.3809419948","-0.464985766","-0.165419791","-0.163169439","-0.044443760"," 0.4723451650","-0.010115530"," 0.715472944"," 0.045680806"," 0.0014451064"," 0.284765806"," 0.2414066332"," 0.011942276"," 0.218094502"," 0.426504094","-0.066162873"," 0.206665143"," 0.123865594"," 0.1574404118"," 0.610791571"," 0.249313607","-0.535120880"," 0.43913972"," 0.7021017194"," 0.1563395065"," 0.705971689"," 0.518770784"," 0.282017114","-3.398417e-01"," 2.707485e-01","-0.421091471"," 0.705860729"," 0.24163642"," 0.554204380","-0.138930636","-0.5259704551"," 0.173497472"," 0.087661728"," 0.941255296","-0.728174439"," 0.621024383"," 0.0007784737"," 0.155390746"," 0.059895593"," 0.149213768"," 0.102206752"," 0.371531017"," 0.099916806","-0.484682833","-0.750591439"," 0.366735346","-0.0429038799"," 0.269002403","-0.086324848"," 2.191226e-01"," 0.35148928"," 0.189703594","-0.160764119","-0.1471677285","-0.732918414","-0.010846951"," 0.110055977","-0.184007001"," 0.3777171725","-0.434181768","-0.7201130845","-0.5381789368","-0.198581190","-0.553142994","-1.510178311",5,4,"Staurosporine"
"Staurosporine_H12","-0.216564202","-0.526412894","-0.5135580511","-0.95238872"," 0.6171378025","-0.0887766800","-0.637454426","-0.671407232","-0.202458669"," 0.083813251"," 0.5744567335","-0.676019152"," 0.747780104"," 0.115527340"," 0.3927892183"," 0.169967444"," 0.2563648673"," 0.128382927"," 0.432095301"," 0.191854695","-0.072826587"," 0.826463255","-0.276232814"," 0.1772746000"," 0.409261043"," 0.274416430"," 0.149468870"," 0.76386837"," 0.3347800959"," 0.6379424812"," 0.480316870","-0.580015786","-0.313685890"," 3.467657e-01"," 1.138563e-01","-0.636475896"," 0.863896391"," 0.53177605"," 0.680194680","-0.194558259"," 0.3118063998","-0.056906788","-0.051230562"," 0.577048511","-0.923167809"," 0.645126482","-0.1049672248"," 0.172994957"," 0.037412200"," 0.510401254","-0.322793889"," 0.489546607","-0.283158347","-0.752468318","-1.304894858","-0.112048867"," 0.0502331806"," 0.117035107","-0.111286635"," 1.278239e-01","-0.23446345"," 0.515805495"," 0.064696398","-0.4085707143"," 0.082988737","-0.694561434"," 0.034220958","-0.911710320"," 0.3422835778","-0.121506161","-0.8162441336","-0.6524491861","-0.600159368","-0.596238843","-1.913596124",5,4,"Staurosporine"
"Cyclosporine_H1"," 0.368769724","-0.186668032","-0.5493278956"," 1.03618738","-0.3280190325","-0.0551598408","-0.168244859","-0.019127933"," 0.417483483","-0.275663554"," 0.2418416072"," 0.185539250","-0.128746076","-0.747901451"," 0.8055116027"," 1.207203960"," 0.3906016393","-0.458382618","-0.272354159","-0.603237389"," 1.011293231"," 0.567738024","-0.230898091","-0.3257420363"," 1.468803921","-0.549730021","-0.526893856"," 0.01271036","-0.0238441940","-0.2280204764"," 0.579388199","-0.163520314","-0.163282930"," 4.551929e-01","-6.682196e-01","-0.471443952"," 0.115773031"," 0.84090836","-0.350059504"," 1.077081427","-0.1962380558","-0.387086292","-0.542169845","-0.009671135","-0.413586060","-0.441926953","-0.1459370694"," 0.192195045","-1.063427845"," 0.175566868"," 0.698488690","-0.498003247","-0.483973372","-0.402330482","-0.594195082"," 0.037364330","-0.2498273747","-0.428859299"," 0.803765989"," 3.702836e-01"," 0.35800914","-0.115658197","-0.008889063","-0.3585328669"," 0.132391681","-0.588648464","-0.414361924","-0.089352653","-0.1296021326","-0.613998531"," 0.0532147523","-0.4632963493"," 0.600793009","-0.375146483"," 0.231437829",6,5,"Cyclosporine"
